Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 36.024; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 30.0; RAM; 3.3; CPUTemp; 36.024; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 30.0; RAM; 3.3; CPUTemp; 34.563; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 28.6; RAM; 3.3; CPUTemp; 36.024; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 25.6; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 28.2; RAM; 3.3; CPUTemp; 36.024; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 36.511; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 27.5; RAM; 3.3; CPUTemp; 35.05; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 34.1; RAM; 3.3; CPUTemp; 36.998; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 31.6; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 38.1; RAM; 3.3; CPUTemp; 36.998; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 33.3; RAM; 3.3; CPUTemp; 35.537; Voltage; 12
Ultraschall1; 0; Ultraschall2; 0; Farbsensor; 5201.0; Motor1; 0; Servo1; 0; CPU; 36.6; RAM; 3.3; CPUTemp; 36.024; Voltage; 12
